,num_employees,income,energy_usage,co2
165,9870,525735000,39000,79300
166,9108,653292000,68000,90100
167,9808,808980000,84000,105000
168,9285,560151000,39000,81100
169,12746,586271000,56000,88700
170,7603,556530000,13000,61000
171,12104,595324000,32000,87700
172,7342,592687000,41000,73600
173,6490,495664000,61000,85600
174,11728,373155000,59000,83400
175,6752,748240000,38000,86500
176,10466,492606000,39000,67900
177,9794,595900000,45000,75600
178,8634,578130000,56000,98400
179,9620,274479000,70000,91200
180,4196,569083000,57000,85000
181,15638,340942000,39000,64800
182,15383,514638000,57000,91800
183,9847,609153000,57000,77700
184,9939,339963000,50000,82900
185,10074,510173000,52000,84500
186,9820,657026000,60000,93900
187,11562,608449000,44000,75800
188,7006,845957000,50000,89800
189,9685,251520000,33000,68600
190,13408,397562000,35000,71500
191,11895,471688000,39000,72600
192,17074,591584000,54000,94500
193,13472,228158000,40000,71800
194,11501,557698000,49000,87400
195,9744,804556000,52000,92100
196,11433,505309000,22000,69400
197,14682,309362000,42000,89800
198,6934,605518000,63000,88200
199,4795,583332000,62000,89400
200,4937,648327000,34000,77600
201,15280,360985000,43000,83400
202,7253,472822000,43000,80200
203,13635,440242000,50000,84300
204,8888,676759000,47000,81300
205,12947,749571000,50000,90200
206,15687,859837000,19000,71100
207,6585,474066000,35000,68200
208,7338,631644000,48000,76500
209,11696,390406000,38000,69000
210,7849,734385000,58000,87300
211,12378,380128000,47000,80700
212,10415,421988000,41000,74600
213,14339,689704000,62000,95700
214,5391,400892000,45000,70000
215,14139,482215000,50000,78300
216,11289,642770000,59000,83100
217,16591,646150000,58000,92200
218,9860,619585000,42000,74500
219,7023,618268000,25000,64600
220,3989,809225000,30000,73200
221,5872,467855000,29000,69700
222,14034,506194000,80000,99300
223,11520,598708000,50000,79300
224,11315,532868000,56000,89000
225,8177,381766000,52000,75500
226,10554,554009000,59000,99500
227,9216,427344000,47000,92100
228,12840,543229000,70000,99100
229,13438,479669000,51000,76200
230,8882,306978000,53000,86000
231,12257,615448000,46000,80900
232,10235,371642000,68000,86200
233,14709,891173000,36000,87300
234,10562,561903000,68000,95700
235,6755,451773000,62000,90100
236,7788,491481000,42000,75800
237,8864,335325000,42000,77000
238,8238,366094000,48000,74200
239,9837,406965000,34000,73300
240,8093,240826000,55000,72900
241,4551,438609000,36000,59800
242,6093,413352000,34000,67600
243,7895,509672000,63000,83600
244,12786,549984000,35000,75300
245,7865,687573000,39000,81900
246,9097,451336000,58000,85400
247,10103,751324000,59000,95600
248,9138,568510000,56000,90400
249,10069,547570000,49000,87200
250,7280,441394000,60000,89100
251,7507,639738000,55000,97100
252,11371,524655000,81000,102200
253,12473,476648000,24000,62500
254,9728,552636000,31000,77800
255,13106,375204000,40000,72100
256,11775,402385000,45000,75100
257,10121,365656000,39000,84200
258,12287,451877000,58000,86200
259,14173,408204000,43000,82600
260,10784,455236000,36000,77600
261,7810,511061000,33000,68800
262,9002,638687000,46000,87900
263,9105,672030000,32000,72800
264,11579,552662000,54000,84900
265,10697,646224000,70000,96700
266,9423,492578000,40000,71200
267,11291,705296000,61000,89800
268,9335,641024000,49000,74000
269,7118,622067000,52000,83200
270,11900,563704000,47000,84500
271,6418,570083000,39000,91000
272,7654,497506000,58000,95300
273,6997,439412000,39000,68700
274,10050,674005000,50000,87600
275,8031,678776000,30000,61000
276,8920,493017000,74000,97100
277,10594,307251000,55000,81000
278,11552,442537000,57000,92600
279,4075,568934000,65000,81100
280,9089,515968000,59000,91300
281,11546,797048000,51000,83900
282,5982,589725000,42000,78400
283,10601,723072000,52000,93600
284,9111,525730000,71000,101000
285,9139,592858000,43000,86900
286,6387,637051000,69000,95600
287,6226,423685000,67000,86800
288,13800,375442000,43000,70900
289,11082,642432000,73000,98100
290,6112,736506000,38000,73600
291,3222,417806000,53000,87000
292,9274,533339000,45000,74100
293,8104,681904000,71000,88900
294,14417,494592000,46000,85600
295,12472,493929000,37000,72800
296,12353,429896000,55000,92600
297,10594,602002000,52000,81200
298,8993,564962000,50000,77000
299,6278,373790000,81000,94500
300,7784,572356000,66000,98600
301,15421,860155000,52000,89800
302,13060,503391000,49000,80300
303,12091,556247000,46000,85500
304,12408,521942000,40000,73600
305,8698,686930000,67000,95100
306,15289,466863000,57000,95400
307,11714,585169000,33000,75700
308,11622,509736000,48000,82500
309,12447,299742000,60000,90300
310,13754,495662000,57000,89500
311,13681,458180000,50000,83200
312,12696,428980000,64000,94500
313,9057,430882000,67000,95700
314,7828,494584000,65000,83700
315,9927,538037000,42000,71500
316,7540,616150000,75000,90200
317,12121,730682000,33000,74000
318,12313,459615000,51000,92500
319,10780,399091000,47000,82500
320,15262,492552000,50000,85200
321,10010,487359000,56000,85700
322,9491,704083000,60000,86100
323,10355,512742000,66000,84500
324,10519,707633000,52000,85800
325,9764,704262000,60000,96000
326,7712,566046000,62000,91600
327,11883,311660000,29000,63300
328,10437,629974000,31000,73000
329,12716,649492000,43000,73300
330,9862,499332000,68000,90900
331,9535,707533000,60000,88000
332,7818,573726000,49000,96000
333,19764,564209000,55000,93300
334,9579,418176000,54000,80500
335,11982,478934000,69000,104200
336,10889,586827000,65000,92800
337,10025,445374000,66000,87800
338,12245,356130000,58000,91500
339,10478,582408000,29000,76800
340,13445,273532000,37000,59000
341,9656,362353000,40000,66700
342,8561,392973000,53000,79700
343,8918,628662000,49000,87700
344,6641,422554000,58000,84300
345,10121,659557000,58000,90000
346,8057,505972000,43000,69400
347,9121,338591000,33000,58600
348,9296,558994000,67000,93900
349,11213,668364000,44000,77600
350,10114,929499000,47000,84400
351,10386,809241000,47000,78800
352,12169,707541000,52000,85900
353,8415,417066000,40000,73700
354,12742,619967000,57000,82500
355,10788,503774000,60000,80600
356,13036,503253000,37000,70600
357,11064,370317000,63000,91000
358,8059,373200000,52000,70100
359,10342,362975000,49000,75200
360,8470,337872000,43000,74000
361,11632,551896000,44000,80100
362,10210,681340000,53000,92500
363,8097,265659000,39000,73700
364,8736,375502000,62000,94000
365,9372,397698000,57000,72200
366,3232,494646000,48000,79300
367,10266,392691000,53000,81300
368,6558,482881000,59000,81400
369,12025,475283000,38000,75900
370,8073,499326000,65000,91200
371,4413,593454000,52000,79900
372,15259,618345000,18000,69900
373,10514,412400000,67000,80400
374,6062,609525000,58000,80700
375,10067,774076000,53000,81400
376,14269,504598000,47000,72400
377,12393,535679000,50000,88300
378,12236,545999000,53000,81400
379,7321,414879000,55000,95300
380,11142,434635000,39000,67700
381,12041,693015000,49000,85400
382,8084,363281000,29000,73400
383,13698,495980000,46000,83100
384,12293,571655000,27000,71800
385,12818,271332000,61000,84000
386,14685,348411000,48000,74600
387,10448,445504000,50000,85600
388,11301,422362000,64000,94300
389,13961,556114000,54000,88200
390,7175,581776000,50000,85600
391,9495,518000000,57000,85900
392,10803,547442000,60000,93800
393,16246,503492000,36000,78900
394,11213,574380000,43000,76700
395,15303,517707000,48000,84000
396,8633,486200000,40000,71500
397,5168,663223000,53000,88600
398,6376,482574000,50000,70600
399,7639,601725000,63000,96000
400,11811,611649000,66000,92900
401,10441,492783000,53000,89000
402,9949,558707000,48000,83300
403,7994,675460000,49000,84000
404,16930,553692000,46000,81000
405,6310,567525000,56000,92600
406,11265,560906000,59000,101200
407,10881,658264000,61000,95400
408,12492,565844000,68000,96100
409,14859,475297000,45000,87300
410,4982,684152000,56000,91500
411,11043,459292000,55000,88500
412,11986,449247000,59000,83300
413,11893,488051000,31000,67900
414,11454,679760000,58000,87500
415,8028,842608000,59000,90800
416,7025,621356000,53000,85900
417,8861,419249000,84000,112700
418,14884,787761000,54000,94900
419,9297,706502000,48000,82500
420,10558,630411000,64000,81200
421,15620,629523000,45000,80300
422,10381,738099000,61000,91700
423,11779,404862000,52000,79400
424,12630,331648000,63000,93200
425,10453,428846000,63000,83200
426,10111,604890000,40000,74200
427,13452,593285000,47000,84400
428,6793,252209000,63000,92400
429,10178,580026000,56000,90900
430,8458,390858000,56000,84400
431,9625,608453000,63000,93700
432,10845,632284000,25000,63700
433,9847,480759000,72000,92900
434,7893,445544000,44000,83200
435,13486,404812000,51000,89200
436,6621,535025000,45000,80800
437,7959,693619000,61000,79000
438,10129,515131000,33000,75200
439,11591,247293000,53000,81700
440,12824,556138000,49000,85300
441,2996,710012000,48000,82400
442,7065,249463000,55000,71400
443,13183,555901000,31000,71900
444,11240,564440000,58000,89200
445,5280,634915000,55000,86200
446,9508,566072000,46000,70700
447,10074,579914000,39000,83500
448,8861,433576000,54000,93900
449,9619,542322000,46000,79600
450,8065,254747000,54000,70000
451,7719,592763000,52000,78300
452,13706,574221000,56000,93200
453,12205,593060000,44000,73400
454,14440,453167000,30000,67100
455,10939,633273000,37000,73000
456,7785,592286000,52000,79500
457,15069,460294000,49000,87300
458,10249,427410000,43000,72500
459,16633,512355000,40000,72100
460,12589,581340000,59000,83500
461,12539,489830000,54000,85000
462,9331,536112000,76000,97500
463,10542,404695000,51000,83500
464,11763,558492000,50000,82100
465,10580,666902000,80000,107900
466,13180,770530000,63000,89600
467,3950,745382000,67000,98000
468,5242,351274000,28000,58800
469,6808,524072000,46000,78800
470,12329,636085000,70000,84800
471,9518,661393000,53000,89300
472,12813,581289000,64000,95000
473,10491,542866000,43000,74300
474,13030,357509000,60000,88600
475,8402,510479000,50000,89900
476,14371,409919000,50000,88000
477,9672,332625000,55000,83200
478,12764,346014000,50000,77600
479,13983,477944000,40000,74800
480,9993,404281000,53000,81600
481,11621,440505000,52000,82700
482,10078,429354000,56000,81200
483,9097,292427000,44000,69400
484,11681,648753000,75000,96800
485,9887,683547000,64000,100000
486,14855,599822000,43000,79400
487,8922,664299000,58000,81300
488,14840,519606000,39000,73100
489,7183,320970000,47000,76500
490,11593,596182000,37000,77600
491,7191,263944000,73000,87400
492,11180,631062000,53000,92000
493,12581,521139000,55000,85300
494,10702,440732000,51000,74700
495,13764,631922000,47000,83100
496,9537,587778000,51000,87800
497,10137,539666000,56000,83300
498,11430,543158000,67000,93200
499,10826,703348000,45000,82200
500,12246,681677000,46000,81400
501,10556,502567000,36000,76500
502,16442,423347000,51000,88800
503,11124,372583000,44000,82200
504,7131,449263000,49000,81400
505,10615,445821000,31000,69700
506,11343,716653000,54000,86200
507,15587,670107000,38000,92100
508,9576,576516000,60000,87600
509,9046,581520000,69000,105000
510,8655,635236000,66000,98500
511,9307,519175000,41000,77400
512,13993,389840000,61000,89300
513,11713,590452000,66000,96700
514,12795,416581000,57000,84600
515,11910,548423000,51000,84800
516,8662,709393000,72000,94800
517,9014,469289000,54000,86500
518,11020,589633000,47000,68900
519,14538,527179000,34000,70800
520,10205,466289000,37000,77800
521,6823,576701000,50000,78800
522,10715,690968000,37000,79400
523,10754,505106000,33000,76400
524,8023,531421000,50000,91100
525,9354,570990000,58000,87600
526,8943,699526000,41000,78900
527,10607,563142000,66000,89100
528,7206,644150000,39000,83900
529,11289,553803000,47000,85300
530,7527,342079000,46000,82700
531,13893,260498000,54000,84800
532,7472,720976000,40000,81500
533,6007,598404000,52000,83600
534,7130,275598000,43000,72300
535,12285,408475000,58000,90800
536,8821,403931000,53000,88700
537,13968,414423000,50000,79800
538,13243,515864000,51000,76900
539,8385,673252000,72000,97400
540,10658,332023000,68000,97300
541,10717,545561000,48000,83700
542,11301,355301000,51000,77100
543,6704,549116000,56000,87200
544,8223,470961000,53000,87700
545,11496,528563000,60000,100400
546,8494,524518000,49000,88400
547,9149,430471000,51000,83600
548,7802,559611000,59000,98000
549,8854,658076000,49000,82000
550,9846,521481000,73000,102500
551,8986,381435000,47000,75900
552,13004,595846000,61000,93500
553,12904,572068000,51000,92600
554,14006,385238000,41000,64800
555,7981,428778000,47000,74500
556,9963,377513000,55000,86900
557,5895,676036000,38000,79900
558,9965,432794000,74000,88100
559,11674,580436000,37000,73000
560,10995,495802000,66000,93000
561,13245,200775000,52000,81400
562,10428,181133000,74000,99000
563,11355,390565000,56000,93200
564,8755,591608000,43000,81000
565,8897,460590000,44000,87000
566,10930,607677000,35000,83000
567,10887,587952000,45000,81800
568,9775,484661000,35000,76300
569,12969,544146000,36000,74100
570,7539,524855000,39000,73100
571,10108,433381000,44000,73700
572,8788,405877000,50000,79700
573,10203,566269000,33000,66200
574,11851,621245000,54000,86900
575,11371,467736000,56000,85900
576,15696,558141000,70000,97400
577,10467,605930000,34000,65300
578,7451,567061000,35000,72000
579,13546,387843000,32000,73700
580,14786,445653000,52000,87200
581,11257,639936000,66000,93600
582,11942,365508000,56000,83300
583,8158,643898000,42000,71600
584,7610,578522000,41000,72100
585,8604,589353000,40000,75000
586,7343,733054000,42000,84900
587,9253,641222000,56000,86600
588,13608,411279000,46000,78500
589,9958,462520000,58000,87800
590,10311,349996000,51000,89900
591,12583,570757000,59000,83700
592,9408,335753000,61000,76000
593,14021,522695000,52000,84100
594,8234,534751000,33000,73100
595,7607,416568000,50000,80800
596,10146,529716000,42000,79000
597,11585,424536000,63000,90000
598,14144,652704000,74000,99700
599,11905,356949000,41000,69400
600,10240,342355000,34000,71200
601,13636,360650000,58000,89300
602,12585,636443000,68000,84200
603,11002,743428000,46000,89000
604,8790,771586000,59000,93000
605,7296,557016000,63000,91800
606,13990,576639000,43000,83600
607,15680,626060000,52000,83900
608,9677,352169000,72000,90900
609,6455,592115000,77000,97500
610,13410,507926000,54000,82800
611,12889,682306000,59000,92700
612,10174,608487000,50000,77900
613,10798,529550000,45000,81200
614,11512,331098000,70000,93500
615,6778,546878000,48000,84400
616,11638,784517000,46000,85400
617,8741,647449000,67000,103500
618,8536,423623000,54000,77000
619,8459,589630000,48000,84300
620,10607,436195000,56000,89200
621,12225,573847000,53000,83000
622,9095,486701000,43000,76700
623,9226,519425000,58000,85400
624,7641,512540000,33000,76500
625,9586,506172000,51000,90500
626,12657,534868000,68000,89600
627,13668,625128000,32000,81100
628,7951,551271000,56000,85300
629,8747,652785000,42000,69400
630,11277,670293000,44000,85400
631,11126,386854000,56000,85400
632,16775,486714000,50000,81900
633,9953,426045000,53000,84100
634,5046,417578000,43000,81100
635,14125,429191000,38000,68700
636,9766,406003000,61000,76000
637,8537,507542000,38000,80800
638,8865,605581000,54000,88500
639,12649,530205000,51000,79000
640,10336,516958000,53000,83200
641,11781,381276000,35000,78100
642,13288,762967000,68000,110100
643,11768,469035000,46000,77900
644,4661,543413000,61000,94600
645,9525,435644000,64000,87600
646,12360,604379000,44000,81200
647,13130,580390000,59000,82300
648,9951,323274000,52000,81600
649,7660,338701000,47000,77000
650,12697,368727000,68000,96400
651,12193,385552000,67000,94400
652,7337,561483000,37000,75200
653,10867,392024000,36000,77600
654,9151,543020000,48000,80200
655,5255,545904000,43000,80200
656,9186,406746000,54000,88800
657,9013,316159000,59000,79700
658,10013,522991000,36000,75300
659,11311,496295000,63000,86600
660,9593,442780000,43000,76400
661,13597,460344000,79000,92300
662,10589,507244000,56000,88000
663,15159,685696000,53000,90000
664,8219,749567000,65000,99300
665,9115,491425000,51000,99200
666,11308,401295000,37000,69500
667,13232,608071000,43000,76500
668,3605,714621000,52000,78900
669,12056,403518000,43000,75400
670,13678,743169000,55000,90900
671,9694,289843000,63000,87000
672,10976,375141000,47000,78200
673,13017,516111000,70000,90900
674,8887,502423000,70000,90900
675,8158,341994000,61000,79000
676,10470,399119000,46000,81800
677,8021,685309000,47000,83400
678,11423,306950000,43000,81200
679,7141,486981000,40000,66500
680,10412,533473000,57000,93900
681,11556,467366000,85000,102700
682,6946,549545000,55000,88300
683,15673,428625000,39000,80800
684,11628,452688000,67000,93800
685,10937,406608000,66000,90900
686,11679,458184000,45000,72800
687,8972,382135000,60000,86000
688,11468,463277000,49000,85100
689,14952,487342000,42000,74000
690,10493,714697000,47000,75500
691,9781,475695000,59000,87700
692,7656,429341000,44000,72200
693,9593,541912000,48000,87400
694,11948,541561000,48000,80400
695,10062,536557000,71000,94300
696,10884,403050000,47000,74300
697,9660,555943000,33000,73200
698,14735,269965000,65000,90100
699,12141,506587000,60000,85900
700,12346,684311000,63000,89300
701,8121,187959000,48000,82500
702,11723,459983000,66000,83100
703,13780,484817000,49000,77600
704,7476,648219000,50000,84200
705,10279,526748000,12000,61600
706,7306,534110000,50000,73300
707,10073,507779000,44000,73200
708,9338,509435000,30000,60100
709,9867,242814000,44000,66200
710,12860,570561000,50000,77200
711,13976,607645000,40000,72600
712,2932,529341000,56000,83200
713,13587,382817000,66000,88900
714,12911,571972000,42000,81200
715,6483,333478000,48000,81200
716,8664,320702000,59000,86600
717,9535,504112000,54000,81600
718,15053,406273000,33000,77300
719,11889,639960000,56000,93100
720,17389,444508000,62000,87400
721,14735,501528000,40000,85200
722,7556,650480000,50000,86100
723,13886,508462000,43000,81500
724,7120,645720000,40000,75500
725,8821,324114000,76000,100200
726,11602,403428000,46000,84900
727,7659,593461000,56000,84300
728,10837,368542000,55000,78300
729,11747,589435000,56000,78400
730,13467,705715000,62000,94800
731,7614,707532000,43000,78300
732,8985,609292000,69000,90900
733,12536,795076000,70000,99800
734,6239,580969000,50000,83900
735,13849,584481000,45000,86300
736,5979,507173000,47000,73700
737,9322,412386000,29000,68600
738,14794,466289000,33000,76500
739,7072,618208000,46000,83400
740,11597,329894000,57000,80600
741,8925,617308000,43000,74100
742,10756,416215000,51000,87500
743,9567,118888000,69000,89000
744,10291,507822000,59000,73200
745,8548,493341000,55000,83700
746,12233,287023000,54000,86000
747,8150,612232000,69000,100800
748,13706,427531000,43000,79600
749,9629,511418000,43000,81200
750,9955,512290000,44000,76500
751,9100,518369000,22000,56300
752,12408,705029000,54000,93900
753,12288,616962000,44000,70400
754,9680,617413000,33000,81100
755,6428,447556000,68000,95700
756,9500,518521000,67000,96300
757,10912,572757000,49000,80000
758,9285,290788000,61000,84400
759,8527,601390000,62000,86400
760,6401,773147000,33000,73300
761,12077,543020000,68000,87500
762,10194,505868000,28000,70700
763,10503,683985000,48000,82700
764,16436,665058000,31000,74000
765,10499,682316000,45000,83700
766,10331,544167000,60000,84600
767,11313,489144000,64000,88400
768,10220,655901000,48000,83800
769,9781,686044000,44000,78700
770,11464,620917000,56000,88000
771,9089,589678000,76000,106100
772,11279,782947000,68000,97000
773,8591,418312000,52000,83400
774,12501,545055000,42000,76900
775,7044,548890000,58000,82800
776,8976,436222000,52000,72200
777,8882,494318000,57000,81300
778,7257,578225000,41000,74800
779,6779,605522000,51000,81900
780,11688,421386000,61000,89700
781,15277,609695000,52000,77400
782,12039,648962000,56000,81100
783,10596,461600000,70000,91900
784,9477,517419000,46000,83800
785,11105,546138000,61000,91200
786,10743,407673000,59000,95900
787,9882,543623000,43000,78800
788,10198,856099000,55000,102900
789,16746,421235000,61000,94500
790,12015,696031000,49000,83200
791,11482,589737000,27000,71600
792,16620,431740000,53000,84500
793,9738,366892000,23000,56400
794,5726,487736000,64000,89900
795,6848,595736000,41000,76600
796,12632,631091000,56000,88200
797,8894,439751000,57000,79100
798,13318,489306000,47000,74500
799,12433,575560000,55000,86000
800,11420,616131000,48000,87700
801,3366,603942000,56000,82900
802,15302,246840000,63000,84900
803,12162,569775000,35000,71900
804,10791,612100000,44000,77900
805,9668,334431000,48000,76400
806,14911,585424000,51000,81800
807,10737,627718000,37000,74900
808,14363,373732000,53000,83500
809,4422,445404000,46000,67300
810,10900,532067000,49000,81000
811,9188,358293000,37000,70700
812,12323,615401000,63000,88100
813,12782,474002000,53000,91000
814,14463,826436000,66000,101300
815,15021,387735000,47000,78000
816,11215,576350000,51000,87900
817,8189,400640000,36000,75600
818,11918,451749000,25000,72400
819,7186,465170000,43000,75400
820,8870,421594000,59000,91400
821,13993,521601000,50000,83800
822,14102,451936000,48000,79300
823,11187,577846000,46000,71800
824,9250,253681000,48000,69500
825,7911,503702000,60000,84800
826,8906,473529000,5000,64700
827,14653,766686000,36000,81300
828,10304,554236000,65000,96000
829,10181,471150000,57000,90200
830,17416,421243000,61000,95800
831,8820,382204000,52000,81100
832,11256,756031000,45000,87300
833,11812,481186000,65000,84800
834,11901,633395000,42000,80800
835,12599,578838000,56000,87600
836,13101,513262000,49000,80400
837,7645,313296000,56000,76600
838,5036,745824000,73000,96100
839,9829,659655000,67000,93800
840,8429,561214000,68000,94700
841,10950,605194000,51000,88000
842,16310,695548000,66000,102900
843,12246,614145000,55000,84900
844,12632,395015000,55000,87600
845,12262,547221000,26000,74400
846,14094,452684000,56000,85800
847,11296,456382000,40000,79300
848,5332,777324000,61000,94700
849,14597,426637000,49000,79800
850,9682,505226000,36000,73600
851,8758,237459000,24000,59900
852,8212,504699000,54000,90100
853,15201,533873000,30000,68900
854,14202,662344000,42000,80700
855,10396,636592000,59000,85100
856,5775,689255000,59000,78100
857,12810,531619000,67000,82000
858,11251,406734000,65000,88800
859,5666,540763000,61000,83900
860,5210,419599000,56000,84500
861,8820,633355000,50000,81800
862,10986,543101000,37000,72900
863,10805,669714000,56000,85700
864,8982,644774000,52000,78700
865,10078,753365000,62000,100300
866,5525,432305000,48000,83600
867,13991,645123000,86000,108900
868,13031,514456000,34000,70800
869,15058,690780000,54000,91400
870,13796,620083000,65000,96900
871,7905,525909000,65000,98100
872,2598,543302000,33000,70400
873,7179,451656000,42000,73200
874,16513,470204000,52000,82300
875,9646,621385000,70000,98000
876,11299,376712000,60000,84200
877,7536,423071000,22000,57000
878,9198,329264000,31000,70400
879,9338,510257000,51000,85000
880,12353,457966000,31000,60900
881,13163,506460000,54000,83000
882,10020,634190000,47000,75900
883,12535,433312000,58000,82800
884,7583,384939000,40000,85400
885,9420,547273000,68000,103200
886,11747,402093000,63000,78700
887,9660,622701000,39000,81200
888,8972,514199000,73000,97600
889,8560,620003000,37000,71200
890,9884,472827000,45000,78900
891,4621,703768000,44000,86800
892,10204,635138000,35000,68500
893,11431,305502000,42000,77000
894,8134,631614000,45000,84000
895,11594,480827000,62000,95400
896,8378,371941000,62000,81500
897,10521,540632000,64000,93000
898,15149,699610000,44000,84200
899,10355,463629000,54000,86100
900,7636,559254000,52000,87200
901,9743,405631000,40000,73600
902,4717,794553000,58000,86000
903,9139,535361000,45000,82700
904,12484,539379000,44000,68400
905,11985,475551000,52000,80000
906,11193,552342000,59000,96000
907,11557,477619000,43000,79500
908,10918,507054000,53000,86200
909,15082,480410000,39000,77900
910,10006,475115000,47000,80000
911,10726,436660000,44000,78100
912,9771,593113000,48000,82200
913,15051,553301000,43000,83100
914,9573,491046000,61000,89600
915,8308,504321000,52000,90400
916,9737,600261000,25000,72300
917,12578,352096000,63000,93300
918,10604,490294000,60000,90300
919,11831,581665000,52000,85500
920,7086,395670000,51000,77500
921,7313,99776000,53000,75000
922,10785,431319000,66000,94300
923,13336,321061000,67000,91100
924,5933,426320000,72000,83800
925,14777,393746000,57000,89600
926,7988,468885000,33000,69400
927,8196,664139000,56000,85500
928,10224,660065000,37000,72600
929,13839,344374000,70000,95700
930,8982,497280000,48000,84100
